"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 03월 30일","22,167.0","20,926.0","22,239.0","20,778.0","198.02K","3.41%"
"2020년 03월 27일","21,437.0","22,520.0","22,545.0","21,316.0","258.11K","-4.08%"
"2020년 03월 26일","22,348.0","21,058.0","22,449.0","20,510.0","335.33K","6.29%"
"2020년 03월 25일","21,026.0","20,679.0","21,892.0","20,279.0","334.53K","2.03%"
"2020년 03월 24일","20,608.0","18,584.0","20,710.0","18,584.0","287.35K","11.41%"
"2020년 03월 23일","18,497.0","18,504.0","19,804.0","18,086.0","308.16K","-8.68%"
"2020년 03월 20일","20,255.5","19,712.0","20,999.0","19,543.0","1.96K","1.26%"
"2020년 03월 19일","20,003.0","19,996.0","20,497.0","18,993.0","54.06K","0.11%"
"2020년 03월 18일","19,981.0","20,791.0","20,954.0","18,904.0","87.33K","-4.70%"
"2020년 03월 17일","20,966.0","20,381.0","21,380.0","19,872.0","121.86K","2.78%"
"2020년 03월 16일","20,399.0","22,867.0","22,899.0","20,062.0","113.14K","-11.26%"
"2020년 03월 13일","22,988.0","20,769.0","23,147.0","20,388.0","232.40K","9.03%"
"2020년 03월 12일","21,085.0","23,565.0","23,851.0","20,875.0","465.61K","-10.56%"
